XM 1, 54 30.45, 05 36.00
XM 2, 54 29.87, 05 35.51
XM 3, 54 29.345, 05 35.657
XM 4, 54 28.80, 05 35.55
XM 5, 54 28.45, 05 36.00
XM A, 54 29.80, 05 37.10
XM B, 54 29.58, 05 36.55
XM C, 54 29.22, 05 36.68
XM D, 54 28.90, 05 36.75
XM E, 54 28.80, 05 37.38
XM G, 54 28.64, 05 38.06
XM H, 54 28.84, 05 38.20
XM J, 54 29.10, 05 38.20
XM K, 54 29͘30, 05 38͘11
XM L, 54 29.50, 05 38.05
XM M, 54 29.80, 05 37.63
XM Q, 54 29.53, 05 37.50
XM R, 54 29.29, 05 37.08
XM T, 54 29.04, 05 37.00
XR Half Tide Rock, 54 29.90, 05 37.10
XR Gullrock Pladdy, 54 30.23, 05 36.66
XR Downey Pladdy (North), 54 30.10, 05 35.80
XR Downey Pladdy (East), 54 30.00, 05 35.70
XR Downey Pladdy (South), 54 29.95, 05 35.80
XR Downey Rock, 54 30.30, 05 35.75
XR Newton Rock, 54 29.50, 05 35.40
XN Rig Pladdy West Cardinal, 54 29.809, 05 36.786 
XN Downey Pladdy (W) Stbd. Lateral, 54 30.055, 05 35.882 
XN Michaels Rock Stbd. Lateral, 54 28.977, 05 35.558 
XN West Rock West Cardinal, 54 28.419, 05 35.175 
XN South Rock Stbd. Lateral, 54 28.195, 05 35.013 
XN Slave Rock Stbd. Lateral, 54 27.793, 05 34.872 
XN Black Dog Rock(Port Lateral), 54 22.268, 05 32.571 
